sample_barcode	sample_class	sample_group_label	sample_type	PC1	PC2
TCGA-A2-A4S0-01A	normal	non_basal	Primary Tumor	0.30436114065944686	-1.2903618072327363
TCGA-A2-A4S2-01A	normal	non_basal	Primary Tumor	-0.3232433972880238	1.3138993516468063
TCGA-A2-A4S3-01A	normal	non_basal	Primary Tumor	0.6631532791097631	-2.6896566046021313
TCGA-A7-A0D9-01A	normal	non_basal	Primary Tumor	-1.5345783025295583	2.848605078021152
TCGA-A7-A0DC-01B	normal	non_basal	Primary Tumor	-2.769202985032475	-2.425815224072495
TCGA-A7-A13F-01A	normal	non_basal	Primary Tumor	-4.377505312540865	1.6753752665176072
TCGA-A7-A13G-01A	normal	non_basal	Primary Tumor	-0.683634660883901	1.1554957115620743
TCGA-A7-A13G-01B	normal	non_basal	Primary Tumor	0.8293398002236355	1.645704929028284
TCGA-A7-A13H-01A	normal	non_basal	Primary Tumor	1.04777257468103	0.18650578477429877
TCGA-A7-A26E-01A	normal	non_basal	Primary Tumor	-0.9857335719164266	3.49876082097341
TCGA-A7-A26E-01B	normal	non_basal	Primary Tumor	-0.5895627708149387	3.5047617344827255
TCGA-A7-A26H-01A	normal	non_basal	Primary Tumor	-2.0495917698368387	0.5778386453070405
TCGA-A7-A26J-01A	normal	non_basal	Primary Tumor	-3.5335866022696787	1.3629080121609831
TCGA-A7-A26J-01B	normal	non_basal	Primary Tumor	-0.7058296691323548	1.5612289086190714
TCGA-A7-A2KD-01A	normal	non_basal	Primary Tumor	-2.338890953744748	-3.3249854496343496
TCGA-A7-A3IY-01A	normal	non_basal	Primary Tumor	3.6351198434431486	-1.449239112647516
TCGA-A7-A3IZ-01A	normal	non_basal	Primary Tumor	-6.012900024607586	-0.6764652838350549
TCGA-A7-A3J0-01A	normal	non_basal	Primary Tumor	-0.5679268883826353	-3.4229244484305337
TCGA-A7-A3J1-01A	normal	non_basal	Primary Tumor	0.4345471383855371	1.147307746456191
TCGA-A7-A3RF-01A	normal	non_basal	Primary Tumor	-3.860923407375764	-4.002687362947367
TCGA-A7-A425-01A	normal	non_basal	Primary Tumor	-1.042569876145755	-1.5573725312679745
TCGA-A7-A426-01A	normal	non_basal	Primary Tumor	-0.13433929149709076	0.2961605958142346
TCGA-A7-A4SA-01A	normal	non_basal	Primary Tumor	0.9025867134896188	-2.122976063029144
TCGA-A7-A4SB-01A	normal	non_basal	Primary Tumor	-3.0265399685187404	-3.62356327204632
TCGA-A7-A4SC-01A	normal	non_basal	Primary Tumor	1.4088130229585505	2.737586715610555
TCGA-A7-A4SF-01A	normal	non_basal	Primary Tumor	-5.7117478494308545	-7.971076000573649
TCGA-A7-A56D-01A	normal	non_basal	Primary Tumor	-1.5544643310263178	1.140147935919599
TCGA-A7-A5ZW-01A	normal	non_basal	Primary Tumor	2.400313041976402	1.6072989665194983
TCGA-A7-A5ZX-01A	normal	non_basal	Primary Tumor	1.4412178101943405	1.8490723443685322
TCGA-A7-A6VX-01A	normal	non_basal	Primary Tumor	-2.953969169428535	-0.20178513975766998
TCGA-A8-A075-01A	normal	non_basal	Primary Tumor	-0.6114427845555713	-5.143196568738112
TCGA-A8-A08O-01A	normal	non_basal	Primary Tumor	-2.682328428362856	-1.6074910861037983
TCGA-A8-A0A6-01A	normal	non_basal	Primary Tumor	1.0955247898109997	3.433120620987629
TCGA-A8-A0AD-01A	normal	non_basal	Primary Tumor	-4.261307566058016	-5.560265251586014
TCGA-AC-A23C-01A	normal	non_basal	Primary Tumor	0.26774928049848745	0.987563910954784
TCGA-AC-A23E-01A	normal	non_basal	Primary Tumor	-1.8736142872887747	0.1928190208937751
TCGA-AC-A23G-01A	normal	non_basal	Primary Tumor	1.8245974141669627	0.3003417623252925
TCGA-AC-A23H-01A	normal	non_basal	Primary Tumor	-2.7781786691065573	3.3564539546129217
TCGA-AC-A2B8-01A	normal	non_basal	Primary Tumor	-0.4673468857536666	-0.062070638638950806
TCGA-AC-A2BM-01A	normal	non_basal	Primary Tumor	-2.097262795876906	1.2173685075120337
TCGA-AC-A2FB-01A	normal	non_basal	Primary Tumor	3.2893067474247872	1.1440363895198404
TCGA-AC-A2FE-01A	normal	non_basal	Primary Tumor	2.287139566631681	3.028976721925338
TCGA-AC-A2FF-01A	normal	non_basal	Primary Tumor	3.4505177584933304	-0.008412527426563624
TCGA-AC-A2FG-01A	normal	non_basal	Primary Tumor	-0.862179065388059	-1.1847935542964991
TCGA-AC-A2FK-01A	normal	non_basal	Primary Tumor	4.754184825273976	-0.17741763982631434
TCGA-AC-A2FM-01A	normal	non_basal	Primary Tumor	-1.8767209138530867	7.349876263222399
TCGA-AC-A2FO-01A	normal	non_basal	Primary Tumor	0.17491441790936044	-0.6905424657261092
TCGA-AC-A2QI-01A	normal	non_basal	Primary Tumor	-2.595200944802856	-5.232589849476407
TCGA-AC-A3BB-01A	normal	non_basal	Primary Tumor	1.0925734413541783	0.4099849432524972
TCGA-AC-A3EH-01A	normal	non_basal	Primary Tumor	-3.4677880470879847	1.7101984162045514
TCGA-AC-A3HN-01A	normal	non_basal	Primary Tumor	1.5290609000263382	1.3981089888933613
TCGA-AC-A3OD-01A	normal	non_basal	Primary Tumor	2.37351173557599	3.9055898801492543
TCGA-AC-A3OD-01B	normal	non_basal	Primary Tumor	2.427407960369528	4.2924114603275685
TCGA-AC-A3QP-01A	normal	non_basal	Primary Tumor	1.340348855795768	-0.40657731849529244
TCGA-AC-A3QQ-01A	normal	non_basal	Primary Tumor	-4.066600438577583	-1.8656813311109792
TCGA-AC-A3TM-01A	normal	non_basal	Primary Tumor	-0.38970383911662465	1.4251214019293037
TCGA-AC-A3TN-01A	normal	non_basal	Primary Tumor	-2.750711020576099	2.9406749269078327
TCGA-AC-A3W5-01A	normal	non_basal	Primary Tumor	-0.26379582894005926	1.002455887060848
TCGA-AC-A3W6-01A	normal	non_basal	Primary Tumor	1.6544235654297546	0.24628405685212962
TCGA-AC-A3W7-01A	normal	non_basal	Primary Tumor	0.10810848522925834	2.0034972997196667
TCGA-AC-A3YI-01A	normal	non_basal	Primary Tumor	3.668359373067958	1.1926570026093708
TCGA-AC-A3YJ-01A	normal	non_basal	Primary Tumor	-1.028219418905988	0.9950478915062004
TCGA-AC-A4ZE-01A	normal	non_basal	Primary Tumor	-4.86839514922276	2.5633705123522446
TCGA-AC-A5EH-01A	normal	non_basal	Primary Tumor	-1.0411526817993415	-0.3413906959683537
TCGA-AC-A5XS-01A	normal	non_basal	Primary Tumor	0.0010187832002680056	-0.8452841262505257
TCGA-AC-A5XU-01A	normal	non_basal	Primary Tumor	-3.9856196742904193	1.3394147679840824
TCGA-AC-A62Y-01A	normal	non_basal	Primary Tumor	0.6977537446001407	0.056243764999380705
TCGA-AC-A6IV-01A	normal	non_basal	Primary Tumor	1.9458874680518827	-0.11221032160207302
TCGA-AC-A6IX-01A	normal	non_basal	Primary Tumor	1.5041834711214024	2.778165468170482
TCGA-AC-A6NO-01A	normal	non_basal	Primary Tumor	-2.7014699218557396	-2.1098207799049153
TCGA-AC-A7VB-01A	normal	non_basal	Primary Tumor	-6.6539912437581785	5.151670724572887
TCGA-AC-A8OP-01A	normal	non_basal	Primary Tumor	-2.516699596870897	2.0387894684392283
TCGA-AC-A8OR-01A	normal	non_basal	Primary Tumor	0.6484340948015543	-0.3735922666685942
TCGA-AC-A8OS-01A	normal	non_basal	Primary Tumor	-0.46329682630411606	-0.6153555146963375
TCGA-AN-A0XL-01A	normal	non_basal	Primary Tumor	-2.40001831138927	-4.720455373343989
TCGA-AN-A0XN-01A	normal	non_basal	Primary Tumor	0.728964428006419	5.315432526999479
