gene	function
DNAJA4	DnaJ heat shock protein family (Hsp40) member A4 — Enables chaperone binding activity and unfolded protein binding activity. Involved in several processes, including negative regulation of endothelial cell migration; negative regulation of inclusion body assembly; and protein refolding.
DNAJB1	DnaJ heat shock protein family (Hsp40) member B1 — This gene encodes a member of the DnaJ or Hsp40 (heat shock protein 40 kD) family of proteins. DNAJ family members are characterized by a highly conserved amino acid stretch called the 'J-domain' and function as one of the two major clas...
DNAJB1P1	DNAJB1 pseudogene 1 (pseudogene).
DNAJB4	DnaJ heat shock protein family (Hsp40) member B4 — The protein encoded by this gene is a molecular chaperone, tumor suppressor, and member of the heat shock protein-40 family. The encoded protein binds the cell adhesion protein E-cadherin and targets it to the plasma membrane.
DNAJB5	DnaJ heat shock protein family (Hsp40) member B5 — This gene encodes a member of the DNAJ heat shock protein 40 family of co-chaperone proteins. The encoded protein contains an N-terminal DNAJ domain and a C-terminal substrate binding domain but lacks the cysteine-rich domain found in ot...
DNAJB5-DT	DNAJB5 divergent transcript
DNAJB6	DnaJ heat shock protein family (Hsp40) member B6 — This gene encodes a member of the DNAJ protein family. DNAJ family members are characterized by a highly conserved amino acid stretch called the 'J-domain' and function as one of the two major classes of molecular chaperones involved in...
DNAJB6P1	DNAJB6 pseudogene 1 (pseudogene).
DNAJC30	DnaJ heat shock protein family (Hsp40) member C30 — This intronless gene encodes a member of the DNAJ molecular chaperone homology domain-containing protein family. This gene is deleted in Williams syndrome, a multisystem developmental disorder caused by the deletion of contiguous genes a...
DNAJC5	DnaJ heat shock protein family (Hsp40) member C5 — This gene is a member of the J protein family. J proteins function in many cellular processes by regulating the ATPase activity of 70 kDa heat shock proteins.
DNAJC5B	DnaJ heat shock protein family (Hsp40) member C5 beta — This gene encodes a member of the DNAJ heat shock protein 40 family of co-chaperone proteins that is characterized by an N-terminal DNAJ domain, a linker region, and a cysteine-rich C-terminal domain. The encoded protein, together with h...
DNAJC5G	DnaJ heat shock protein family (Hsp40) member C5 gamma — Predicted to be located in membrane. Predicted to be integral component of membrane.
DNAJC6	DnaJ heat shock protein family (Hsp40) member C6 — DNAJC6 belongs to the evolutionarily conserved DNAJ/HSP40 family of proteins, which regulate molecular chaperone activity by stimulating ATPase activity. DNAJ proteins may have up to 3 distinct domains: a conserved 70-amino acid J domain...
DNASE1L2	deoxyribonuclease 1 like 2 — Predicted to enable DNA binding activity and deoxyribonuclease I activity. Predicted to be involved in DNA catabolic process, endonucleolytic.
DNER	delta/notch like EGF repeat containing — Predicted to enable Notch binding activity. Involved in central nervous system development.
DNHD1	dynein heavy chain domain 1 — Predicted to enable dynein intermediate chain binding activity; dynein light intermediate chain binding activity; and minus-end-directed microtubule motor activity. Predicted to be involved in cilium movement.
DNLZ	DNL-type zinc finger — Predicted to enable chaperone binding activity. Predicted to be involved in protein folding; protein import into mitochondrial matrix; and protein stabilization.
DNM3	dynamin 3 — This gene encodes a member of a family of guanosine triphosphate (GTP)-binding proteins that associate with microtubules and are involved in vesicular transport. The encoded protein functions in the development of megakaryocytes.
DNM3OS	DNM3 opposite strand/antisense RNA (non-coding RNA; limited characterised function).
DNMT3A	DNA methyltransferase 3 alpha — CpG methylation is an epigenetic modification that is important for embryonic development, imprinting, and X-chromosome inactivation. Studies in mice have demonstrated that DNA methylation is required for mammalian development.
DNPEP	aspartyl aminopeptidase — The protein encoded by this gene is an aminopeptidase which prefers acidic amino acids, and specifically favors aspartic acid over glutamic acid. It is thought to be a cytosolic protein involved in general metabolism of intracellular pro...
DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2 — This gene is thought to be involved in chromatin remodeling and gene transcription. The encoded nuclear protein binds to and enhances the transcriptional activity of the estrogen receptor alpha, and also interacts with terminal deoxynucl...
DOC2A	double C2 domain alpha — There are at least two protein isoforms of the Double C2 protein, namely alpha (DOC2A) and beta (DOC2B), which contain two C2-like domains. DOC2A and DOC2B are encoded by different genes; these genes are at times confused with the unrela...
DOC2GP	double C2 domain gamma, pseudogene (pseudogene).
DOCK1	dedicator of cytokinesis 1 — This gene encodes a member of the dedicator of cytokinesis protein family. Dedicator of cytokinesis proteins act as guanine nucleotide exchange factors for small Rho family G proteins.
DOCK10	dedicator of cytokinesis 10 — This gene encodes a member of the dedicator of cytokinesis protein family. Members of this family are guanosine nucleotide exchange factors for Rho GTPases and defined by the presence of conserved DOCK-homology regions.
DOCK2	dedicator of cytokinesis 2 — The protein encoded by this gene belongs to the CDM protein family. It is specifically expressed in hematopoietic cells and is predominantly expressed in peripheral blood leukocytes.
DOCK3	dedicator of cytokinesis 3 — This gene is specifically expressed in the central nervous system (CNS). It encodes a member of the DOCK (dedicator of cytokinesis) family of guanine nucleotide exchange factors (GEFs).
DOCK5	dedicator of cytokinesis 5 — This gene encodes a member of the dedicator of cytokinesis protein family. Members of this family act as guanine nucleotide exchange factors for small Rho family G proteins.
DOCK6	dedicator of cytokinesis 6 — This gene encodes a member of the dedicator of cytokinesis (DOCK) family of atypical guanine nucleotide exchange factors. Guanine nucleotide exchange factors interact with small GTPases and are components of intracellular signaling netwo...
DOCK9	dedicator of cytokinesis 9 — Enables cadherin binding activity. Predicted to be involved in positive regulation of GTPase activity.
DOK5	docking protein 5 — The protein encoded by this gene is a member of the DOK family of membrane proteins, which are adapter proteins involved in signal transduction. The encoded protein interacts with phosphorylated receptor tyrosine kinases to mediate neuri...
DOK6	docking protein 6 — DOK6 is a member of the DOK (see DOK1; MIM 602919) family of intracellular adaptors that play a role in the RET (MIM 164761) signaling cascade (Crowder et al., 2004 [PubMed 15286081]).[supplied by OMIM, Mar 2008].
DOK7	docking protein 7 — The protein encoded by this gene is essential for neuromuscular synaptogenesis. The protein functions in aneural activation of muscle-specific receptor kinase, which is required for postsynaptic differentiation, and in the subsequent clu...
DOP1B	DOP1 leucine zipper like protein B — Involved in cognition. Located in early endosome membrane.
DPF1	double PHD fingers 1 — Enables sequence-specific double-stranded DNA binding activity. Predicted to be involved in negative regulation of transcription, DNA-templated; nervous system development; and positive regulation of transcription by RNA polymerase II.
DPF2	double PHD fingers 2 — The protein encoded by this gene is a member of the d4 domain family, characterized by a zinc finger-like structural motif. This protein functions as a transcription factor which is necessary for the apoptotic response following deprivat...
DPF3	double PHD fingers 3 — This gene encodes a member of the D4 protein family. The encoded protein is a transcription regulator that binds acetylated histones and is a component of the BAF chromatin remodeling complex.
